卜,蔔,-1|0|萝
卜,卜
几,几,-1|0|茶,-1|0|书,-1|0|边,-1|0|角,-1|0|圆
几,幾
了,了
瞭,了
干,干
乾,干
幹,干
纔,才
才,才
万,万
萬,万
千,千
韆,千
丰,丰
豐,丰
云,云
雲,云
曆,历
歷,历
仆,仆
僕,仆
鬥,斗
斗,斗
丑,丑
醜,丑
術,术
术,术
叶,叶
葉,叶
衹,只
隻,只
冬,冬
鼕,冬
饑,饥
飢,饥
匯,汇
彙,汇
出,出
齣,出
髮,发
發,发
颱,台
檯,台
台,台
臺,台
樸,朴
朴,朴
誇,夸
夸,夸
划,划
劃,划
當,当
噹,当
籲,吁
吁,吁
麯,曲
曲,曲
糰,团
團,团
回,回
迴,回
朱,朱
硃,朱
伙,伙
夥,伙
嚮,向
向,向
后,后
後,后
合,合
閤,合
衝,冲
冲,冲
儘,尽
盡,尽
纖,纤
縴,纤
壇,坛
罎,坛
垻,坝
壩,坝
摺,折
折,折
克,克
剋,克
囌,苏
蘇,苏
滷,卤
鹵,卤
裏,里
里,里
困,困
睏,困
别,别
彆,别
餘,余
余,余
穀,谷
谷,谷
係,系
繫,系
系,系
瀋,沈
沈,沈
表,表
錶,表
范,范
範,范
闆,板
板,板
松,松
鬆,松
鬱,郁
郁,郁
製,制
制,制
颳,刮
刮,刮
征,征
徵,征
捨,舍
舍,舍
捲,卷
卷,卷
簾,帘
帘,帘
瀰,弥
彌,弥
鬍,胡
胡,胡
咸,咸
鹹,咸
面,面
麵,面
鍾,钟
鐘,钟
种,种
種,种
鞦,秋
秋,秋
複,复
復,复
須,须
鬚,须
姜,姜
薑,姜
穫,获
獲,获
噁,恶
惡,恶
致,致
緻,致
黨,党
党,党
借,借
藉,借
髒,脏
臟,脏
準,准
准,准
癥,症
症,症
涂,涂
塗,涂
傢,家
家,家
据,据
據,据
纍,累
累,累
旋,旋
鏇,旋
澱,淀
淀,淀
築,筑
筑,筑
禦,御
御,御
擺,摆
襬,摆
懞,蒙
濛,蒙
矇,蒙
蒙,蒙
簽,签
籤,签
漓,漓
灕,漓
辟,辟
闢,辟
衊,蔑
蔑,蔑
篱,篱
籬,篱
蕓,芸
芸,芸
